min,max,income
0,550000,0
550001,1619000,1
1619001,1619999,1069000
1620000,1620999,1070000
1621000,1621999,1070000
1622000,1623999,1072000
1624000,1627999,1074000
1628000,1631999,1076400
1632000,1635999,1080000
1636000,1639999,1083600
1640000,1643999,1086000
1644000,1647999,1089600
1648000,1651999,1093200
1652000,1655999,1095600
1656000,1659999,1099200
1660000,1663999,1102800
1664000,1667999,1105200
1668000,1671999,1108800
1672000,1675999,1112400
1676000,1679999,1114800
1680000,1683999,1118400
1684000,1687999,1122000
1688000,1691999,1124400
1692000,1695999,1128000
1696000,1699999,1131600
1700000,1703999,1134000
1704000,1707999,1137600
1708000,1711999,1141200
1712000,1715999,1143600
1716000,1719999,1147200
1720000,1723999,1150800
1724000,1727999,1153200
1728000,1731999,1156800
1732000,1735999,1160400
1736000,1739999,1162800
1740000,1743999,1166400
1744000,1747999,1170000
1748000,1751999,1172400
1752000,1755999,1176000
1756000,1759999,1179600
1760000,1763999,1182000
1764000,1767999,1185600
1768000,1771999,1189200
1772000,1775999,1191600
1776000,1779999,1195200
1780000,1783999,1198800
1784000,1787999,1201200
1788000,1791999,1204800
1792000,1795999,1208400
1796000,1799999,1210800
1800000,1803999,1214000
1804000,1807999,1216800
1808000,1811999,1219600
1812000,1815999,1222400
1816000,1819999,1225200
1820000,1823999,1228000
1824000,1827999,1230800
1828000,1831999,1233600
1832000,1835999,1236400
1836000,1839999,1239200
1840000,1843999,1242000
1844000,1847999,1244800
1848000,1851999,1247600
1852000,1855999,1250400
1856000,1859999,1253200
1860000,1863999,1256000
1864000,1867999,1258800
1868000,1871999,1261600
1872000,1875999,1264400
1876000,1879999,1267200
1880000,1883999,1270000
1884000,1887999,1272800
1888000,1891999,1275600
1892000,1895999,1278400
1896000,1899999,1281200
1900000,1903999,1284000
1904000,1907999,1286800
1908000,1911999,1289600
1912000,1915999,1292400
1916000,1919999,1295200
1920000,1923999,1298000
1924000,1927999,1300800
1928000,1931999,1303600
1932000,1935999,1306400
1936000,1939999,1309200
1940000,1943999,1312000
1944000,1947999,1314800
1948000,1951999,1317600
1952000,1955999,1320400
1956000,1959999,1323200
1960000,1963999,1326000
1964000,1967999,1328800
1968000,1971999,1331600
1972000,1975999,1334400
1976000,1979999,1337200
1980000,1983999,1340000
1984000,1987999,1342800
1988000,1991999,1345600
1992000,1995999,1348400
1996000,1999999,1351200
2000000,2099999,1354000
2100000,2199999,1424000
2200000,2299999,1494000
2300000,2399999,1564000
2400000,2499999,1634000
2500000,2599999,1704000
2600000,2699999,1774000
2700000,2799999,1844000
2800000,2899999,1914000
2900000,2999999,1984000
3000000,3099999,2054000
3100000,3199999,2124000
3200000,3299999,2194000
3300000,3399999,2264000
3400000,3499999,2334000
3500000,3599999,2404000
3600000,3699999,2440000
3700000,3799999,2520000
3800000,3899999,2600000
3900000,3999999,2680000
4000000,4099999,2760000
4100000,4199999,2840000
4200000,4299999,2920000
4300000,4399999,3000000
4400000,4499999,3080000
4500000,4599999,3160000
4600000,4699999,3240000
4700000,4799999,3320000
4800000,4899999,3400000
4900000,4999999,3480000
5000000,5099999,3560000
5100000,5199999,3640000
5200000,5299999,3720000
5300000,5399999,3800000
5400000,5499999,3880000
5500000,5599999,3960000
5600000,5699999,4040000
5700000,5799999,4120000
5800000,5899999,4200000
5900000,5999999,4280000
6000000,6099999,4360000
6100000,6199999,4440000
6200000,6299999,4520000
6300000,6399999,4600000
6400000,6499999,4680000
6500000,6599999,4760000
6600000,8499999,4840000
8500000,99999999,6550000
